p1_p2_dist,p1_p3_dist,p2_p3_dist,p1_acc,p2_acc,p3_acc,p1_target,p2_target,p3_target,p1_survive,p2_survive,p3_survive
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,2,1,1,0.175,0.144,0.845
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,2,1,2,0.262,0.107,0.8
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,2,3,1,0.465,0.089,0.5
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,2,3,2,0.728,0.01,0.392
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,3,1,1,0.085,0.767,0.37
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,3,1,2,0.175,0.521,0.359
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,3,3,1,0.227,0.565,0.17
0.15126249282914175,0.48096331118739305,0.6300278681720641,0.8543730740443722,0.6452363323439704,0.5781960211048003,3,3,2,0.598,0.18,0.077
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,2,1,1,0.449,0.207,0.712
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,2,1,2,0.482,0.17,0.733
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,2,3,1,0.852,0.065,0.394
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,2,3,2,0.924,0.046,0.341
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,3,1,1,0.253,0.764,0.233
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,3,1,2,0.303,0.658,0.199
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,3,3,1,0.593,0.41,0.015
0.3513105101003914,0.4648565781834559,0.66289836228756,0.9490687047412416,0.5845740264572763,0.08748958735629753,3,3,2,0.645,0.384,0.006
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,2,1,1,0.447,0.11,0.511
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,2,1,2,0.598,0.055,0.442
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,2,3,1,0.64,0.085,0.256
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,2,3,2,0.856,0.033,0.131
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,3,1,1,0.458,0.58,0.073
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,3,1,2,0.556,0.378,0.054
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,3,3,1,0.596,0.445,0.025
0.23964314846473303,0.15269904847711488,0.15610980580182707,0.9244509320819316,0.30716539480042615,0.22024367274476753,3,3,2,0.798,0.227,0.011
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,2,1,1,0.346,0.386,0.649
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,2,1,2,0.549,0.205,0.73
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,2,3,1,0.763,0.606,0.114
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,2,3,2,0.895,0.401,0.193
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,3,1,1,0.306,0.811,0.259
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,3,1,2,0.524,0.485,0.389
